"scenario","pre_treatment_periods","post_treatment_periods","pre_treatment_rmse","estimated_temporal_average_effect","standard_error","confidence_interval_lower","confidence_interval_upper","true_average_policy_effect","average_concurrent_policy_effect","estimation_error_for_policy_effect"
"Ideal: stable untreated process",50,10,0.166579962639397,-1.50380513754789,0.105116842927531,-1.7098303638544,-1.29777991124137,-1.5,0,-0.00380513754788514
"Failure: additional policy from June 2022",50,10,0.166579962639397,-2.20380513754789,0.105116842927531,-2.4098303638544,-1.99777991124137,-1.5,-0.7,-0.703805137547885
