"setting","true_att","estimate","std_error","conf_low","conf_high"
"Ideal: parallel trends",0.3,0.31464909914095,0.0348462192845472,0.246351764345852,0.382946433936047
"Failure: different untreated trends",0.3,0.734649099140955,0.0348462192845471,0.666351764345858,0.802946433936052
