"method","estimand","estimate","std_error","conf_low","conf_high","true_value"
"Unadjusted comparison","ATT",8.6761521061104,0.256344013371603,8.1736053711055,9.1786988411153,4
"OLS: both confounders observed","ATT",3.77223856218298,0.248196337212754,3.28566479999218,4.25881232437379,4
"Matching: both confounders observed","ATT",3.8176360160804,0.450858227552678,2.93397012794359,4.70130190421722,4
"OLS: family affluence unobserved","ATT",5.71651257123079,0.252675613481854,5.2211574854776,6.21186765698398,4
"Matching: family affluence unobserved","ATT",6.04919604926369,0.326668335063914,5.40893787764876,6.68945422087863,4
