"model_label","model_tag","refinement_method","size_match","exact_match_variables"
"Mahalanobis - 1 neighbor","mahalanobis_n1","mahalanobis",1,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam"
"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_collina + dummy_piccole + dummy_polo_allevamento_miste + dummy_cond_quasi_fam"
