"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-2,-0.264580565962271,0.0864493218969416,"Pre-treatment placebo",-0.434021236880276,-0.0951398950442654,"asinh_valore_aggiunto_w",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
-1,0,0,"Baseline",0,0,"asinh_valore_aggiunto_w",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
0,0.0162284625224547,0.0911002741831675,"Post-treatment",-0.162328074876554,0.194784999921463,"asinh_valore_aggiunto_w",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
1,0.214617223129683,0.0939019300871291,"Post-treatment",0.03056944015891,0.398665006100456,"asinh_valore_aggiunto_w",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
2,0.596979212188749,0.317730712407221,"Post-treatment",-0.0257729841294045,1.2197314085069,"asinh_valore_aggiunto_w",2,2,"CBPS.weight","CBPS_weight","CBPS.weight",NA,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
