"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-2,-4431.45210727969,4219.66485025619,"Pre-treatment placebo",-12701.9952137818,3839.09099922244,"valore_aggiunto",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_polo_permanenti + dummy_polo_allevamento_miste","unconditional",87
-1,0,0,"Baseline",0,0,"valore_aggiunto",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_polo_permanenti + dummy_polo_allevamento_miste","unconditional",87
0,-6084.54406130268,5353.05936314172,"Post-treatment",-16576.5404130605,4407.45229045508,"valore_aggiunto",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_polo_permanenti + dummy_polo_allevamento_miste","unconditional",87
1,-2229.09195402299,5724.46488374857,"Post-treatment",-13449.0431261702,8990.85921812421,"valore_aggiunto",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_polo_permanenti + dummy_polo_allevamento_miste","unconditional",87
2,8746.50191570881,6342.54830106523,"Post-treatment",-3684.89275437904,21177.8965857967,"valore_aggiunto",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_polo_permanenti + dummy_polo_allevamento_miste","unconditional",87
