"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-2,-0.284343458477602,0.0888573725448453,"Pre-treatment placebo",-0.458503908665499,-0.110183008289705,"asinh_valore_aggiunto_w",2,2,"Mahalanobis - 5 neighbors","mahalanobis_n5","mahalanobis",5,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
-1,0,0,"Baseline",0,0,"asinh_valore_aggiunto_w",2,2,"Mahalanobis - 5 neighbors","mahalanobis_n5","mahalanobis",5,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
0,0.0380796121839104,0.0946808029136453,"Post-treatment",-0.147494761526834,0.223653985894655,"asinh_valore_aggiunto_w",2,2,"Mahalanobis - 5 neighbors","mahalanobis_n5","mahalanobis",5,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
1,0.333446813224123,0.148582836450553,"Post-treatment",0.0422244537810387,0.624669172667208,"asinh_valore_aggiunto_w",2,2,"Mahalanobis - 5 neighbors","mahalanobis_n5","mahalanobis",5,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
2,0.269834846897177,0.317819996326841,"Post-treatment",-0.353092345903431,0.892762039697785,"asinh_valore_aggiunto_w",2,2,"Mahalanobis - 5 neighbors","mahalanobis_n5","mahalanobis",5,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
