"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-2,-8966.31412765958,4206.3642698726,"Pre-treatment placebo",-17210.7880966099,-721.840158709285,"valore_aggiunto_w",2,2,"Mahalanobis - 5 neighbors","mahalanobis_n5","mahalanobis",5,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
-1,0,0,"Baseline",0,0,"valore_aggiunto_w",2,2,"Mahalanobis - 5 neighbors","mahalanobis_n5","mahalanobis",5,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
0,-6765.9450212766,5024.32141175528,"Post-treatment",-16613.6149883169,3081.72494576375,"valore_aggiunto_w",2,2,"Mahalanobis - 5 neighbors","mahalanobis_n5","mahalanobis",5,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
1,-1266.88561702128,4508.25816875087,"Post-treatment",-10103.071627773,7569.30039373043,"valore_aggiunto_w",2,2,"Mahalanobis - 5 neighbors","mahalanobis_n5","mahalanobis",5,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
2,9322.03965957447,5976.76380296251,"Post-treatment",-2392.41739423205,21036.496713381,"valore_aggiunto_w",2,2,"Mahalanobis - 5 neighbors","mahalanobis_n5","mahalanobis",5,"dummy_piccole + dummy_medie + dummy_cond_fam + dummy_cond_quasi_fam","unconditional",94
