"event_time","estimate","std_error","period_type","conf_low","conf_high","outcome","lag","lead_max","model_label","model_tag","refinement_method","size_match","exact_match_variables","se_method","n_matched_sets"
-2,-1898.64750957854,3933.3692147611,"Pre-treatment placebo",-9608.05117051029,5810.7561513532,"utile_perdita_esercizio",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_polo_permanenti + dummy_polo_allevamento_miste","unconditional",87
-1,0,0,"Baseline",0,0,"utile_perdita_esercizio",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_polo_permanenti + dummy_polo_allevamento_miste","unconditional",87
0,-4186.35249042146,5143.43491967625,"Post-treatment",-14267.4849329869,5894.779952144,"utile_perdita_esercizio",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_polo_permanenti + dummy_polo_allevamento_miste","unconditional",87
1,-752.7969348659,5652.76379005815,"Post-treatment",-11832.2139633799,10326.6200936481,"utile_perdita_esercizio",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_polo_permanenti + dummy_polo_allevamento_miste","unconditional",87
2,7850.41762452107,5867.87758759184,"Post-treatment",-3650.62244715892,19351.4576962011,"utile_perdita_esercizio",2,2,"Mahalanobis - 3 neighbors","mahalanobis_n3","mahalanobis",3,"dummy_collina + dummy_piccole + dummy_polo_permanenti + dummy_polo_allevamento_miste","unconditional",87
